ID_UNICO,STATUS,LOCK,ID_BLOG,KEYWORD,TEMA_ARTICULO,ID_PARENT_SILO,OUTLINE_JSON,HTML_RAW,HTML_FINAL,URL_FINAL,PRIORITY,RETRY_COUNT,LAST_ERROR,EXECUTION_ID,TRACE_ID,WORKER_ID,LOCK_TIMESTAMP,LOCK_OWNER
P20260513-0144,PENDING,FALSE,guacamayos,guacamayo mascota cuidados alimentación,"Guacamayo como Mascota: Cuidados, Alimentación y Comportamiento — Guía Completa",,,,,,1,0,,,,,,
C20260513-0145,PENDING,FALSE,guacamayos,guacamayo azul amarillo cuidados,"Guacamayo Azul y Amarillo: Cuidados Específicos, Dieta y Espacio Necesario",P20260513-0144,,,,,2,0,,,,,,
C20260513-0146,PENDING,FALSE,guacamayos,guacamayo verde cuidados,"Guacamayo Verde Militar: Características, Cuidados y Adaptación al Hogar",P20260513-0144,,,,,2,0,,,,,,
C20260513-0147,PENDING,FALSE,guacamayos,dieta guacamayo frutas pellets,"Dieta del Guacamayo: Frutas, Verduras, Pellets y Alimentos Tóxicos a Evitar",P20260513-0144,,,,,2,0,,,,,,
C20260513-0148,PENDING,FALSE,guacamayos,psitacosis guacamayo síntomas,"Psitacosis en Guacamayos: Síntomas, Contagio a Humanos y Tratamiento",P20260513-0144,,,,,2,0,,,,,,
C20260513-0149,PENDING,FALSE,guacamayos,jaula guacamayo tamaño requisitos,"Jaula para Guacamayos: Tamaño Mínimo, Materiales y Enriquecimiento Ambiental",P20260513-0144,,,,,2,0,,,,,,
C20260513-0150,PENDING,FALSE,guacamayos,guacamayo pubertad comportamiento agresivo,Pubertad del Guacamayo: Por Qué se Vuelve Agresivo y Cómo Manejarlo,P20260513-0144,,,,,2,0,,,,,,
C20260513-0151,PENDING,FALSE,guacamayos,guacamayo hablar entrenamiento,Guacamayo Parlante: Técnicas de Entrenamiento para que Aprenda a Hablar,P20260513-0144,,,,,2,0,,,,,,
C20260513-0152,PENDING,FALSE,guacamayos,enfermedad pico pluma guacamayo,Enfermedad del Pico y las Plumas (PBFD) en Guacamayos: Diagnóstico y Tratamiento,P20260513-0144,,,,,2,0,,,,,,
C20260513-0153,PENDING,FALSE,guacamayos,costo mantener guacamayo mensual,¿Cuánto Cuesta Tener un Guacamayo? Gastos Mensuales Reales,P20260513-0144,,,,,2,0,,,,,,
C20260513-0154,PENDING,FALSE,guacamayos,guacamayo hibrido verde azul,Guacamayos Híbridos: Todo sobre los Cruces y Sus Características,P20260513-0144,,,,,2,0,,,,,,
P20260513-0155,PENDING,FALSE,periquitos,periquito australiano cuidados guía,"Periquitos Australianos: Guía Completa de Cuidados, Alimentación y Salud 2025",,,,,,1,0,,,,,,
C20260513-0156,PENDING,FALSE,periquitos,periquito macho hembra diferencia,Cómo Saber si tu Periquito es Macho o Hembra: 5 Diferencias Claras,P20260513-0155,,,,,2,0,,,,,,
C20260513-0157,PENDING,FALSE,periquitos,muda periquito normal anormal,Muda del Periquito: ¿Cuándo es Normal y Cuándo Hay que Preocuparse?,P20260513-0155,,,,,2,0,,,,,,
C20260513-0158,PENDING,FALSE,periquitos,ácaros periquito síntomas tratamiento,Ácaros en Periquitos: Síntomas de Infestación y Tratamiento Efectivo,P20260513-0155,,,,,2,0,,,,,,
C20260513-0159,PENDING,FALSE,periquitos,periquito come no come síntomas enfermedad,Mi Periquito No Come: 8 Causas y Qué Hacer en Cada Caso,P20260513-0155,,,,,2,0,,,,,,
C20260513-0160,PENDING,FALSE,periquitos,jaula periquito tamaño mínimo,Tamaño de Jaula para Periquitos: Requisitos Mínimos y Accesorios,P20260513-0155,,,,,2,0,,,,,,
C20260513-0161,PENDING,FALSE,periquitos,periquito sociable o solo,¿Periquito Solo o en Pareja? Ventajas y Desventajas de Cada Opción,P20260513-0155,,,,,2,0,,,,,,
C20260513-0162,PENDING,FALSE,periquitos,dieta periquito semillas pellets frutas,"Dieta del Periquito: Semillas, Pellets, Frutas y Alimentos Prohibidos",P20260513-0155,,,,,2,0,,,,,,
C20260513-0163,PENDING,FALSE,periquitos,periquito hablar entrenamiento edad,¿A qué Edad Puede Aprender a Hablar un Periquito? Técnicas de Entrenamiento,P20260513-0155,,,,,2,0,,,,,,
C20260513-0164,PENDING,FALSE,periquitos,enfermedades comunes periquitos,Las 6 Enfermedades más Comunes en Periquitos y Cómo Reconocerlas,P20260513-0155,,,,,2,0,,,,,,
C20260513-0165,PENDING,FALSE,periquitos,reproducción periquitos nido crías,"Reproducción de Periquitos en Casa: Nido, Puesta, Incubación y Cría",P20260513-0155,,,,,2,0,,,,,,
P20260513-0166,PENDING,FALSE,chinchillas,cuidados chinchilla mascota,"Chinchilla como Mascota: Guía Completa de Cuidados, Alimentación y Salud",,,,,,1,0,,,,,,
C20260513-0167,PENDING,FALSE,chinchillas,temperatura chinchilla golpe calor,Chinchilla y Temperatura: Por Qué el Calor Puede Matarla y Cómo Prevenirlo,P20260513-0166,,,,,2,0,,,,,,
C20260513-0168,PENDING,FALSE,chinchillas,maloclusión dental chinchilla síntomas,"Maloclusión Dental en Chinchillas: Síntomas, Diagnóstico y Tratamiento",P20260513-0166,,,,,2,0,,,,,,
C20260513-0169,PENDING,FALSE,chinchillas,GI estasis chinchilla emergencia,GI Stasis en Chinchillas: Señales de Emergencia y Qué Hacer,P20260513-0166,,,,,2,0,,,,,,
C20260513-0170,PENDING,FALSE,chinchillas,polvo baño chinchilla frecuencia,"Baño de Polvo para Chinchillas: Frecuencia, Tipo de Polvo y Técnica",P20260513-0166,,,,,2,0,,,,,,
C20260513-0171,PENDING,FALSE,chinchillas,alimentación heno chinchilla dieta,Alimentación de la Chinchilla: El Heno como Base y Suplementos Seguros,P20260513-0166,,,,,2,0,,,,,,
C20260513-0172,PENDING,FALSE,chinchillas,jaula chinchilla requisitos mínimos,Jaula para Chinchillas: Requisitos Mínimos de Espacio y Materiales Seguros,P20260513-0166,,,,,2,0,,,,,,
C20260513-0173,PENDING,FALSE,chinchillas,chinchilla solitaria o en pareja,¿Chinchilla Sola o en Pareja? Socialización y Compatibilidad,P20260513-0166,,,,,2,0,,,,,,
C20260513-0174,PENDING,FALSE,chinchillas,chinchilla enfermedades comunes,Las 7 Enfermedades más Comunes en Chinchillas y Cómo Prevenirlas,P20260513-0166,,,,,2,0,,,,,,
C20260513-0175,PENDING,FALSE,chinchillas,reproducción chinchilla cría,"Reproducción en Chinchillas: Gestación, Parto y Cuidado de las Crías",P20260513-0166,,,,,2,0,,,,,,
C20260513-0176,PENDING,FALSE,chinchillas,chinchilla expectativa vida años,¿Cuánto Vive una Chinchilla? Expectativa de Vida y Cómo Alargarla,P20260513-0166,,,,,2,0,,,,,,
P20260513-0177,PENDING,FALSE,reptiles,reptil mascota cuidados terrario,"Reptiles como Mascotas: Guía Completa de Cuidados, Terrario y Alimentación 2025",,,,,,1,0,,,,,,
C20260513-0178,PENDING,FALSE,reptiles,iguana verde cuidados dieta,"Iguana Verde como Mascota: Cuidados, Terrario y Dieta Herbívora",P20260513-0177,,,,,2,0,,,,,,
C20260513-0179,PENDING,FALSE,reptiles,tortuga tierra cuidados alimentación,"Tortuga de Tierra como Mascota: Cuidados, Hibernación y Alimentación",P20260513-0177,,,,,2,0,,,,,,
C20260513-0180,PENDING,FALSE,reptiles,serpiente boa cuidados principiante,"Boa Constrictora para Principiantes: Cuidados, Tamaño y Alimentación",P20260513-0177,,,,,2,0,,,,,,
C20260513-0181,PENDING,FALSE,reptiles,MBD enfermedad metabólica reptiles,"Enfermedad Metabólica Ósea (MBD) en Reptiles: Causas, Síntomas y Tratamiento",P20260513-0177,,,,,2,0,,,,,,
C20260513-0182,PENDING,FALSE,reptiles,UVB lámpara reptiles importancia,Lámparas UVB para Reptiles: Por Qué son Vitales y Cómo Elegirlas,P20260513-0177,,,,,2,0,,,,,,
C20260513-0183,PENDING,FALSE,reptiles,temperatura humedad terrario reptil,Control de Temperatura y Humedad en el Terrario: Guía por Especie,P20260513-0177,,,,,2,0,,,,,,
C20260513-0184,PENDING,FALSE,reptiles,parasitosis interna reptiles tratamiento,Parasitosis Interna en Reptiles: Diagnóstico por Coproparasitología y Tratamiento,P20260513-0177,,,,,2,0,,,,,,
C20260513-0185,PENDING,FALSE,reptiles,retención muda reptil problemas,"Retención de Muda en Reptiles: Causas, Solución y Cómo Prevenirla",P20260513-0177,,,,,2,0,,,,,,
C20260513-0186,PENDING,FALSE,reptiles,normativa tenencia reptiles legal,Normativa Legal para Tener Reptiles en España y Latinoamérica 2025,P20260513-0177,,,,,2,0,,,,,,
C20260513-0187,PENDING,FALSE,reptiles,alimentación viva muerta reptiles debate,"Presa Viva vs Presa Muerta para Reptiles: Seguridad, Ética y Nutrición",P20260513-0177,,,,,2,0,,,,,,
P20260513-0188,PENDING,FALSE,geckos,gecko leopardo cuidados terrario,"Gecko Leopardo: Guía Completa de Cuidados, Terrario, Alimentación y Morfologías",,,,,,1,0,,,,,,
C20260513-0189,PENDING,FALSE,geckos,morfologías gecko leopardo tipos,"Morfologías del Gecko Leopardo: Tipos, Genética y Precios en 2025",P20260513-0188,,,,,2,0,,,,,,
C20260513-0190,PENDING,FALSE,geckos,gecko leopardo temperatura frío calor,Temperatura para el Gecko Leopardo: Gradiente Térmico Correcto sin UVB,P20260513-0188,,,,,2,0,,,,,,
C20260513-0191,PENDING,FALSE,geckos,repashy crested gecko alimento,Crested Gecko Diet (Repashy): Cómo Prepararlo y Por Qué es Mejor que Insectos,P20260513-0188,,,,,2,0,,,,,,
C20260513-0192,PENDING,FALSE,geckos,criptosporidiosis gecko diagnóstico,Criptosporidiosis en Geckos: El Gran Enemigo — Diagnóstico y Manejo,P20260513-0188,,,,,2,0,,,,,,
C20260513-0193,PENDING,FALSE,geckos,retención muda gecko leopardo solucion,Retención de Muda en el Gecko Leopardo: Causas y Solución Paso a Paso,P20260513-0188,,,,,2,0,,,,,,
C20260513-0194,PENDING,FALSE,geckos,gecko leopardo no come causas,Mi Gecko Leopardo No Come: 7 Causas y Cómo Solucionarlas,P20260513-0188,,,,,2,0,,,,,,
C20260513-0195,PENDING,FALSE,geckos,gecko leopardo hembra macho diferencia,"Gecko Leopardo Macho vs Hembra: Diferencias, Dimorfismo y Reproducción",P20260513-0188,,,,,2,0,,,,,,
C20260513-0196,PENDING,FALSE,geckos,reproducion gecko leopardo incubación,"Reproducción del Gecko Leopardo: Puesta, Incubación y Cuidado de Crías",P20260513-0188,,,,,2,0,,,,,,
C20260513-0197,PENDING,FALSE,geckos,sustrato gecko leopardo opciones,Sustrato para Gecko Leopardo: Opciones Seguras y Cuáles Evitar,P20260513-0188,,,,,2,0,,,,,,
C20260513-0198,PENDING,FALSE,geckos,gecko leopardo enfermedades comunes,Las 5 Enfermedades más Comunes del Gecko Leopardo y Sus Síntomas,P20260513-0188,,,,,2,0,,,,,,
P20260513-0199,PENDING,FALSE,pastor-aleman,pastor alemán cuidados entrenamiento salud,"Pastor Alemán: Guía Completa de Entrenamiento, Salud, Alimentación y Cuidados 2025",,,,,,1,0,,,,,,
C20260513-0200,PENDING,FALSE,pastor-aleman,displasia cadera pastor alemán OFA,"Displasia de Cadera en el Pastor Alemán: Diagnóstico OFA, Tratamiento y Genética",P20260513-0199,,,,,2,0,,,,,,
C20260513-0201,PENDING,FALSE,pastor-aleman,degeneración mielítica DM pastor,Degeneración Mielítica en el Pastor Alemán: Diagnóstico y Manejo,P20260513-0199,,,,,2,0,,,,,,
C20260513-0202,PENDING,FALSE,pastor-aleman,entrenamiento schutzhund IPO pastor,Entrenamiento Schutzhund/IPO para el Pastor Alemán: Cómo Empezar,P20260513-0199,,,,,2,0,,,,,,
C20260513-0203,PENDING,FALSE,pastor-aleman,bloat vólvulo gástrico pastor alemán,Bloat en el Pastor Alemán: Señales de Vólvulo Gástrico y Acción de Emergencia,P20260513-0199,,,,,2,0,,,,,,
C20260513-0204,PENDING,FALSE,pastor-aleman,pastor alemán línea trabajo vs show,Pastor Alemán de Línea de Trabajo vs Línea de Show: Diferencias Clave,P20260513-0199,,,,,2,0,,,,,,
C20260513-0205,PENDING,FALSE,pastor-aleman,alimentación pastor alemán razas grandes,Alimentación del Pastor Alemán: Necesidades Específicas para Razas Grandes Activas,P20260513-0199,,,,,2,0,,,,,,
C20260513-0206,PENDING,FALSE,pastor-aleman,cadera codos pastor alemán cirugía,Cirugía de Cadera y Codos en el Pastor Alemán: Cuándo Operar,P20260513-0199,,,,,2,0,,,,,,
C20260513-0207,PENDING,FALSE,pastor-aleman,pastor alemán cachorro socialización,Socialización del Pastor Alemán Cachorro: Ventana Crítica 8–16 Semanas,P20260513-0199,,,,,2,0,,,,,,
C20260513-0208,PENDING,FALSE,pastor-aleman,pastor alemán pelo largo corto diferencias,Pastor Alemán Pelo Largo vs Pelo Corto: ¿Hay Diferencias de Temperamento?,P20260513-0199,,,,,2,0,,,,,,
C20260513-0209,PENDING,FALSE,pastor-aleman,pannus queratitis pastor alemán ojos,Pannus (Queratitis Superficial) en el Pastor Alemán: Diagnóstico y Tratamiento,P20260513-0199,,,,,2,0,,,,,,
P20260513-0210,PENDING,FALSE,razas-perros,razas de perros guía completa,"Guía Completa de Razas de Perros: Características, Temperamento y Cuidados por Raza",,,,,,1,0,,,,,,
C20260513-0211,PENDING,FALSE,razas-perros,razas perros pequeños apartamento,Las 10 Mejores Razas de Perros Pequeños para Apartamento,P20260513-0210,,,,,2,0,,,,,,
C20260513-0212,PENDING,FALSE,razas-perros,razas perros familia niños,Las 8 Mejores Razas de Perros para Familias con Niños,P20260513-0210,,,,,2,0,,,,,,
C20260513-0213,PENDING,FALSE,razas-perros,razas perros hipoalergénicas pelo,Razas de Perros Hipoalergénicas: Las que Sueltan Menos Pelo,P20260513-0210,,,,,2,0,,,,,,
C20260513-0214,PENDING,FALSE,razas-perros,perro guardián raza recomendada,Mejores Razas de Perros Guardianes: Características y Entrenamiento,P20260513-0210,,,,,2,0,,,,,,
C20260513-0215,PENDING,FALSE,razas-perros,raza perro mayor expectativa vida,Razas de Perros con Mayor Expectativa de Vida (Más de 14 Años),P20260513-0210,,,,,2,0,,,,,,
C20260513-0216,PENDING,FALSE,razas-perros,golden retriever características cuidados,"Golden Retriever: Características, Salud, Precio y Cuidados Completos",P20260513-0210,,,,,2,0,,,,,,
C20260513-0217,PENDING,FALSE,razas-perros,labrador retriever diferencias golden,Labrador Retriever vs Golden Retriever: Diferencias Definitivas,P20260513-0210,,,,,2,0,,,,,,
C20260513-0218,PENDING,FALSE,razas-perros,perro mestizo adopción ventajas,Perro Mestizo vs Raza Pura: Ventajas de la Adopción — Guía Honesta,P20260513-0210,,,,,2,0,,,,,,
C20260513-0219,PENDING,FALSE,razas-perros,razas perros talla gigante cuidados,Razas de Perros de Talla Gigante: Cuidados Especiales y Esperanza de Vida,P20260513-0210,,,,,2,0,,,,,,
C20260513-0220,PENDING,FALSE,razas-perros,chihuahua yorkshire miniatura cuidados,Chihuahua y Yorkshire: Cuidados Especiales para las Razas más Pequeñas,P20260513-0210,,,,,2,0,,,,,,
P20260513-0221,PENDING,FALSE,pez-betta,pez betta acuario cuidados guía,"Pez Betta: Guía Completa de Cuidados, Acuario, Alimentación y Enfermedades 2025",,,,,,1,0,,,,,,
C20260513-0222,PENDING,FALSE,pez-betta,parámetros agua betta pH temperatura,"Parámetros del Agua para Betta: pH, Temperatura, Dureza y Nitratos Ideales",P20260513-0221,,,,,2,0,,,,,,
C20260513-0223,PENDING,FALSE,pez-betta,betta macho hembra juntos sorority,Betta Macho y Hembra Juntos: Cuándo es Posible y Riesgos del Sorority Tank,P20260513-0221,,,,,2,0,,,,,,
C20260513-0224,PENDING,FALSE,pez-betta,ich puntos blancos betta tratamiento,Ich en Betta: Puntos Blancos — Diagnóstico y Tratamiento Efectivo,P20260513-0221,,,,,2,0,,,,,,
C20260513-0225,PENDING,FALSE,pez-betta,fin rot aleta podrida betta,"Fin Rot en Betta: Aletas Podridas — Causas, Tratamiento y Prevención",P20260513-0221,,,,,2,0,,,,,,
C20260513-0226,PENDING,FALSE,pez-betta,dropsy hidropesía betta piña síntomas,"Dropsy en Betta: Hidropesía, Síntoma de Piña y Qué Significa el Pronóstico",P20260513-0221,,,,,2,0,,,,,,
C20260513-0227,PENDING,FALSE,pez-betta,filtro acuario betta corriente agua,Filtro para Acuario de Betta: Cómo Reducir la Corriente de Agua,P20260513-0221,,,,,2,0,,,,,,
C20260513-0228,PENDING,FALSE,pez-betta,alimentación betta dieta variada,"Alimentación del Betta: Pellets, Alimento Vivo y Liofilizado — Guía Completa",P20260513-0221,,,,,2,0,,,,,,
C20260513-0229,PENDING,FALSE,pez-betta,reproducción betta nido burbujas,"Reproducción del Betta: Nido de Burbujas, Puesta y Cuidado del Macho",P20260513-0221,,,,,2,0,,,,,,
C20260513-0230,PENDING,FALSE,pez-betta,acuario plantado betta plantas,Acuario Plantado para Betta: Las Mejores Plantas y Cómo Establecerlas,P20260513-0221,,,,,2,0,,,,,,
C20260513-0231,PENDING,FALSE,pez-betta,betta constipado estreñido tratamiento,"Estreñimiento en el Betta: Síntomas, Ayuno y Tratamiento con Arveja",P20260513-0221,,,,,2,0,,,,,,
P20260513-0232,PENDING,FALSE,pez-guppy,peces guppy cuidados reproducción,"Peces Guppy: Guía Completa de Cuidados, Reproducción y Enfermedades 2025",,,,,,1,0,,,,,,
C20260513-0233,PENDING,FALSE,pez-guppy,genética color guppy herencia,Genética del Color en los Guppies: Herencia y Cómo Seleccionar Colores,P20260513-0232,,,,,2,0,,,,,,
C20260513-0234,PENDING,FALSE,pez-guppy,guppy reproducción livebearer,"Reproducción del Guppy: Gestación, Parto y Separación de las Crías",P20260513-0232,,,,,2,0,,,,,,
C20260513-0235,PENDING,FALSE,pez-guppy,parámetros agua guppy pH temperatura,"Parámetros del Agua para Guppies: pH, Temperatura, GH y Nitrato",P20260513-0232,,,,,2,0,,,,,,
C20260513-0236,PENDING,FALSE,pez-guppy,guppy macho cola enfermedad,"Cola Rota en Guppy: Causas, Tratamiento y Cómo Prevenirlo",P20260513-0232,,,,,2,0,,,,,,
C20260513-0237,PENDING,FALSE,pez-guppy,pez cebra tetras compatibles guppy,Peces Compatibles con Guppies: Los Mejores y los que Debes Evitar,P20260513-0232,,,,,2,0,,,,,,
C20260513-0238,PENDING,FALSE,pez-guppy,ich guppy tratamiento agua caliente,Ich en Guppies: Tratamiento con Calor y Sal sin Medicamentos,P20260513-0232,,,,,2,0,,,,,,
C20260513-0239,PENDING,FALSE,pez-guppy,alimentación guppy hembras machos,"Alimentación del Guppy: Diferencias entre Machos, Hembras y Alevines",P20260513-0232,,,,,2,0,,,,,,
C20260513-0240,PENDING,FALSE,pez-guppy,guppy fancy wild tipos diferencias,"Guppy Fancy vs Wild: Diferencias, Cuidados y Cuál Elegiste Tener",P20260513-0232,,,,,2,0,,,,,,
C20260513-0241,PENDING,FALSE,pez-guppy,filtro acuario guppy fry,Filtro para Acuario con Guppies: Cómo Evitar que los Alevines Mueran Aspirados,P20260513-0232,,,,,2,0,,,,,,
C20260513-0242,PENDING,FALSE,pez-guppy,drogas sal guppy tratamiento,Sal en el Acuario de Guppies: Cuándo Usarla y en Qué Cantidad,P20260513-0232,,,,,2,0,,,,,,
P20260513-0243,PENDING,FALSE,pez-platy,pez platy cuidados acuario,"Pez Platy: Guía Completa de Cuidados, Reproducción y Compatibilidad en Acuario",,,,,,1,0,,,,,,
C20260513-0244,PENDING,FALSE,pez-platy,variedades platy tipos colores,"Variedades de Platy: Mickey Mouse, Marigold, Sunset — Tipos y Colores",P20260513-0243,,,,,2,0,,,,,,
C20260513-0245,PENDING,FALSE,pez-platy,platy reproducción alevines cuidado,"Reproducción del Platy: Gestación, Parto y Cómo Salvar los Alevines",P20260513-0243,,,,,2,0,,,,,,
C20260513-0246,PENDING,FALSE,pez-platy,parámetros agua platy temperatura,"Parámetros del Agua para Platy: Temperatura, pH y Dureza Ideales",P20260513-0243,,,,,2,0,,,,,,
C20260513-0247,PENDING,FALSE,pez-platy,platy molly guppy diferencias,"Platy, Molly y Guppy: Diferencias de Cuidado y Compatibilidad en Acuario",P20260513-0243,,,,,2,0,,,,,,
C20260513-0248,PENDING,FALSE,pez-platy,platy enfermedad puntos blancos ich,"Enfermedades del Platy: Ich, Fin Rot y Cómo Tratarlos",P20260513-0243,,,,,2,0,,,,,,
C20260513-0249,PENDING,FALSE,pez-platy,platy come plantas acuario,Mi Platy Come las Plantas: ¿Por Qué Ocurre y Cómo Evitarlo?,P20260513-0243,,,,,2,0,,,,,,
C20260513-0250,PENDING,FALSE,pez-platy,platy agresivo comportamiento,Comportamiento Agresivo en Platies: Causas y Soluciones,P20260513-0243,,,,,2,0,,,,,,
C20260513-0251,PENDING,FALSE,pez-platy,alimentación platy omnivoro dieta,"Alimentación Omnívora del Platy: Alimentos Vivos, Secos y Vegetales",P20260513-0243,,,,,2,0,,,,,,
C20260513-0252,PENDING,FALSE,pez-platy,acuario comunitario platy tankmates,Mejores Compañeros de Acuario para el Platy (Tankmates Compatibles),P20260513-0243,,,,,2,0,,,,,,
C20260513-0253,PENDING,FALSE,pez-platy,platy estreñido constipado síntomas,Estreñimiento en el Platy: Síntomas y Tratamiento con Vegetales,P20260513-0243,,,,,2,0,,,,,,
P20260513-0254,PENDING,FALSE,acuarios-biotipo,acuario nano plantado setup,"Acuario Nano Plantado: Setup Completo, Iluminación, CO2 y Plantas para Principiantes",,,,,,1,0,,,,,,
C20260513-0255,PENDING,FALSE,acuarios-biotipo,CO2 acuario plantado sistema,"CO2 en el Acuario Plantado: Sistemas, Difusores y Cómo Calcularlo",P20260513-0254,,,,,2,0,,,,,,
C20260513-0256,PENDING,FALSE,acuarios-biotipo,fertilizantes acuario plantado macros,"Fertilizantes para el Acuario Plantado: Macros, Micros y Dosificación",P20260513-0254,,,,,2,0,,,,,,
C20260513-0257,PENDING,FALSE,acuarios-biotipo,aquascaping estilos iwagumi dutch,"Aquascaping: Estilos Iwagumi, Dutch y Natural — Cuál Elegir y Cómo Empezar",P20260513-0254,,,,,2,0,,,,,,
C20260513-0258,PENDING,FALSE,acuarios-biotipo,iluminación LED acuario plantado,"Iluminación LED para Acuario Plantado: Potencia, Espectro y Duración",P20260513-0254,,,,,2,0,,,,,,
C20260513-0259,PENDING,FALSE,acuarios-biotipo,plantas fáciles acuario principiante,Las 10 Plantas más Fáciles para Acuario: Perfectas para Principiantes,P20260513-0254,,,,,2,0,,,,,,
C20260513-0260,PENDING,FALSE,acuarios-biotipo,sustratos acuario plantado fértil,Sustratos para Acuario Plantado: Comparativa de Opciones Fértiles,P20260513-0254,,,,,2,0,,,,,,
C20260513-0261,PENDING,FALSE,acuarios-biotipo,algas acuario plantado control,"Control de Algas en el Acuario Plantado: Tipos, Causas y Soluciones",P20260513-0254,,,,,2,0,,,,,,
C20260513-0262,PENDING,FALSE,acuarios-biotipo,filtro acuario plantado flow rate,Filtro para Acuario Plantado: Caudal Ideal y Modelos Recomendados,P20260513-0254,,,,,2,0,,,,,,
C20260513-0263,PENDING,FALSE,acuarios-biotipo,camarones cherry neocaridina acuario,Camarones Cherry en el Acuario Plantado: Compatibilidad y Cuidados,P20260513-0254,,,,,2,0,,,,,,
C20260513-0264,PENDING,FALSE,acuarios-biotipo,ciclo nitrógeno acuario nuevo setup,Ciclo del Nitrógeno en el Acuario Nuevo: Cómo Hacerlo en 2 Semanas,P20260513-0254,,,,,2,0,,,,,,
P20260513-0265,PENDING,FALSE,alimentacion-perros,nutrición canina alimentación perros,"Nutrición Canina: Guía Completa de Alimentación para Perros — BARF, Pienso y Cocina",,,,,,1,0,,,,,,
C20260513-0266,PENDING,FALSE,alimentacion-perros,BARF perros dieta cruda beneficios,"Dieta BARF para Perros: Qué es, Beneficios, Riesgos y Cómo Empezar",P20260513-0265,,,,,2,0,,,,,,
C20260513-0267,PENDING,FALSE,alimentacion-perros,alimentos tóxicos perros uvas xilitol,"Alimentos Tóxicos para Perros: Lista Completa — Uvas, Xilitol, Cebolla y Más",P20260513-0265,,,,,2,0,,,,,,
C20260513-0268,PENDING,FALSE,alimentacion-perros,pienso perro calidad etiquetado,Cómo Leer la Etiqueta del Pienso para Perros: Ingredientes que Importan,P20260513-0265,,,,,2,0,,,,,,
C20260513-0269,PENDING,FALSE,alimentacion-perros,alimentación cachorro vs adulto mayor,"Alimentación del Perro por Etapa: Cachorro, Adulto y Senior — Diferencias Clave",P20260513-0265,,,,,2,0,,,,,,
C20260513-0270,PENDING,FALSE,alimentacion-perros,perro gordo obesidad dieta control peso,Obesidad Canina: Cómo Detectarla y Plan de Dieta para Bajar de Peso,P20260513-0265,,,,,2,0,,,,,,
C20260513-0271,PENDING,FALSE,alimentacion-perros,comida casera perros recetas equilibradas,Comida Casera para Perros: Recetas Equilibradas Aprobadas por Veterinarios,P20260513-0265,,,,,2,0,,,,,,
C20260513-0272,PENDING,FALSE,alimentacion-perros,suplementos perros omega aceite piel,"Suplementos para Perros: Omega 3, Glucosamina y Cuándo Realmente Necesitarlos",P20260513-0265,,,,,2,0,,,,,,
C20260513-0273,PENDING,FALSE,alimentacion-perros,perro razas pequeñas alimentación croquetas,Alimentación para Perros de Razas Pequeñas: Por Qué Necesitan Croquetas Especiales,P20260513-0265,,,,,2,0,,,,,,
C20260513-0274,PENDING,FALSE,alimentacion-perros,perro renal dieta proteínas restringidas,Dieta Renal para Perros: Qué Comer con Insuficiencia Renal Crónica,P20260513-0265,,,,,2,0,,,,,,
C20260513-0275,PENDING,FALSE,alimentacion-perros,hidratación agua perros cuánta necesitan,¿Cuánta Agua Necesita un Perro al Día? Hidratación y Señales de Deshidratación,P20260513-0265,,,,,2,0,,,,,,
P20260513-0276,PENDING,FALSE,alimentacion-gatos,nutrición felina alimentación gatos,"Nutrición Felina: Guía Completa de Alimentación para Gatos — Húmedo, Seco y BARF",,,,,,1,0,,,,,,
C20260513-0277,PENDING,FALSE,alimentacion-gatos,gato carnívoro obligado taurina,El Gato es Carnívoro Obligado: Por Qué Necesita Taurina y Proteína Animal,P20260513-0276,,,,,2,0,,,,,,
C20260513-0278,PENDING,FALSE,alimentacion-gatos,comida húmeda vs seca gatos ventajas,Comida Húmeda vs Seca para Gatos: Cuál es Mejor y Por Qué,P20260513-0276,,,,,2,0,,,,,,
C20260513-0279,PENDING,FALSE,alimentacion-gatos,FLUTD gato dieta urinaria prevención,FLUTD en Gatos: Dieta para Prevenir Problemas Urinarios — Guía Veterinaria,P20260513-0276,,,,,2,0,,,,,,
C20260513-0280,PENDING,FALSE,alimentacion-gatos,diabetes felina dieta low carb,Diabetes Felina y Dieta Low-Carb: Cómo la Alimentación Puede Controlar la Glucosa,P20260513-0276,,,,,2,0,,,,,,
C20260513-0281,PENDING,FALSE,alimentacion-gatos,gato obeso dieta control peso,Gato Obeso: Dieta de Control de Peso y Cuánto Comer Realmente,P20260513-0276,,,,,2,0,,,,,,
C20260513-0282,PENDING,FALSE,alimentacion-gatos,alimentos tóxicos gatos lista,Alimentos Tóxicos para Gatos: Lista Completa — Lo que Nunca Debes Darle,P20260513-0276,,,,,2,0,,,,,,
C20260513-0283,PENDING,FALSE,alimentacion-gatos,raw feeding gatos barf felino,"Raw Feeding (BARF) para Gatos: Guía de Inicio, Proporciones y Riesgos",P20260513-0276,,,,,2,0,,,,,,
C20260513-0284,PENDING,FALSE,alimentacion-gatos,gato senior alimentación >10 años,Alimentación del Gato Senior (+10 Años): Necesidades Nutricionales Específicas,P20260513-0276,,,,,2,0,,,,,,
C20260513-0285,PENDING,FALSE,alimentacion-gatos,gato no bebe agua soluciones,Mi Gato No Bebe Agua: Por Qué Ocurre y Cómo Hacer que se Hidrate,P20260513-0276,,,,,2,0,,,,,,
